"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 26 19:18:58 GMT 2024","Wed Jun 26 19:18:58 GMT 2024","28","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Wed Jun 26 19:18:59 GMT 2024","Wed Jun 26 19:18:59 GMT 2024","344","tests.api","test_api_signup","","","","test_successful_api_signup",""
"passed","Wed Jun 26 19:19:02 GMT 2024","Wed Jun 26 19:19:03 GMT 2024","688","tests","test_edit","","","","test_autocomplete",""
"passed","Wed Jun 26 19:19:05 GMT 2024","Wed Jun 26 19:19:05 GMT 2024","39","tests","test_home","","","","test_successful_login",""
"passed","Wed Jun 26 19:19:06 GMT 2024","Wed Jun 26 19:19:07 GMT 2024","681","tests","test_login","","","","test_failed_login",""
"passed","Wed Jun 26 19:18:59 GMT 2024","Wed Jun 26 19:18:59 GMT 2024","304","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Wed Jun 26 19:18:59 GMT 2024","Wed Jun 26 19:19:00 GMT 2024","306","tests.api","test_api_signup","","","","test_return_403_if_access_token_is_empty",""
"passed","Wed Jun 26 19:19:05 GMT 2024","Wed Jun 26 19:19:06 GMT 2024","690","tests","test_login","","","","test_successful_login",""
"passed","Wed Jun 26 19:18:59 GMT 2024","Wed Jun 26 19:18:59 GMT 2024","26","tests.api","test_api_signup","","","","test_return_400_if_email_is_empty",""
"passed","Wed Jun 26 19:18:58 GMT 2024","Wed Jun 26 19:18:59 GMT 2024","324","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"broken","Wed Jun 26 19:19:03 GMT 2024","Wed Jun 26 19:19:03 GMT 2024","0","tests","test_edit","","","","test_edit",""
"passed","Wed Jun 26 19:18:58 GMT 2024","Wed Jun 26 19:18:58 GMT 2024","786","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Wed Jun 26 19:19:00 GMT 2024","Wed Jun 26 19:19:00 GMT 2024","315","tests.api","test_api_signup","","","","test_return_422_if_username_already_exists",""
